word,word count,root word,root language,second language,ranked languages
peep,4,,,,
peeping,4,,,,
peril,4,peril,Old French,Latin,Old French;Latin;Greek;Old Irish;Old English
persons,4,person,Old French,Latin,Old French;Latin;Greek
petticoats,4,,,,
pflaap,4,,,,
pile,4,pile,American English,English,American English;English
pillars,4,pillar,Old French,Latin,Old French;Latin
pills,4,pill,Middle Dutch,Dutch,Middle Dutch;Dutch;German;French;Latin
pineapple,4,pineapple,Old English,,Old English
pinned,4,pin,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German;Latin
piped,4,pipe,Old French,Latin,Old French;Latin
plans,4,plan,French,Latin,French;Latin;Italian
plates,4,plate,Old French,Latin,Old French;Latin;Greek;Spanish;English
playfield,4,,,,
plot,4,plot,Old English,Old French,Old English;Old French
plucked,4,,,,
plume,4,,,,
poetical,4,,,,
poisoned,4,poison,Old French,,Old French
popped,4,,,,
pork,4,pork,Old French,Latin,Old French;Latin;Slavonic;Old English;Middle Dutch;Dutch;Germanic;American English
positive,4,,,,
possession,4,possession,Old French,Latin,Old French;Latin
postal,4,postal,French,,French
potted,4,,,,
powder,4,powder,Old French,,Old French
powerful,4,,,,
practices,4,practice,Old French,Latin,Old French;Latin;Greek
prefer,4,prefer,Old French,Latin,Old French;Latin;English
preparation,4,preparation,Latin,,Latin
prison,4,prison,Old French,Latin,Old French;Latin
probability,4,probability,Old French,Latin,Old French;Latin
produce,4,,,,
production,4,production,Old French,Latin,Old French;Latin
profit,4,profit,Old French,Latin,Old French;Latin;Old English
projected,4,,,,
prolonged,4,prolong,Old French,Latin,Old French;Latin
property,4,property,Old French,Latin,Old French;Latin;Greek;English
prospectus,4,prospectus,French,Latin,French;Latin
proximity,4,proximity,French,Latin,French;Latin
publichouse,4,,,,
puck,4,puck,Irish,,Irish
pump,4,,,,
punch,4,,,,
punish,4,punish,Old French,Latin,Old French;Latin
punishment,4,punishment,Old French,,Old French
purgatory,4,purgatory,Old French,Latin,Old French;Latin
quality,4,quality,Old French,Latin,Old French;Latin;Greek
racing,4,,,,
raise,4,raise,American English,English,American English;English
ramp,4,ramp,Old French,American English,Old French;American English;English
rank,4,,,,
raoul,4,,,,
rapid,4,rapid,French,Latin,French;Latin;Greek
rational,4,rational,Old French,Latin,Old French;Latin
rattling,4,,,,
reality,4,reality,French,Latin,French;Latin
rebel,4,,,,
recipe,4,recipe,French,Latin,French;Latin
recognise,4,recognise,English,,English
rectly,4,,,,
reggy,4,,,,
regret,4,regret,French,,French
reign,4,reign,Old French,Latin,Old French;Latin
reins,4,,,,
rejoined,4,rejoin,Old French,,Old French
relish,4,,,,
remembering,4,remember,Old French,Latin,Old French;Latin;English
reminded,4,,,,
renewal,4,renewal,American English,English,American English;English
