word,word count,root word,root language,second language,ranked languages
eventful,2,,,,
everything—and,2,,,,
evident,2,evident,Old French,Latin,Old French;Latin
evils,2,evil,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;American English
exactness,2,,,,
exaggerated,2,exaggerate,Latin,English,Latin;English
exaggeration,2,exaggeration,Latin,,Latin
examining,2,examine,Old French,Latin,Old French;Latin
exasperated,2,exasperate,Latin,,Latin
excellencies,2,excellency,Latin,,Latin
exception,2,exception,Old French,Latin,Old French;Latin
exceptions,2,exception,Old French,Latin,Old French;Latin
excessively,2,excessive,Old French,Latin,Old French;Latin
exclusive,2,exclusive,Latin,,Latin
excused,2,excuse,Old French,Latin,Old French;Latin;Spanish;Italian;English
excusing,2,excuse,Old French,Latin,Old French;Latin;Spanish;Italian;English
execrations,2,execration,Latin,,Latin
execute,2,execute,Old French,Latin,Old French;Latin
executed,2,execute,Old French,Latin,Old French;Latin
exemption,2,exemption,Old French,Latin,Old French;Latin
exerted,2,exert,Latin,,Latin
exertions,2,,,,
exhibiting,2,exhibit,Latin,,Latin
exhilarating,2,exhilarate,Latin,,Latin
exhilaration,2,exhilaration,Latin,,Latin
exiled,2,exile,Old French,Latin,Old French;Latin;Greek
exists,2,exist,French,Latin,French;Latin
exit,2,exit,Latin,English,Latin;English
exorbitant,2,exorbitant,Latin,,Latin
expedite,2,expedite,Latin,Greek,Latin;Greek
expenditures,2,expenditure,Latin,,Latin
explanatory,2,explanatory,Latin,,Latin
exploits,2,exploit,Old French,,Old French
explore,2,explore,French,Latin,French;Latin
explosion,2,explosion,French,Latin,French;Latin
exposing,2,expose,French,,French
extending,2,extend,Old French,Latin,Old French;Latin;English
extensive,2,extensive,Latin,,Latin
extracted,2,extract,Latin,,Latin
extremely,2,,,,
eyeing,2,eye,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic;Latin
facilities,2,,,,
factory,2,factory,French,Latin,French;Latin
fainted,2,,,,
fancying,2,,,,
fanning,2,fan,Old English,Latin,Old English;Latin
fans,2,fan,Old English,Latin,Old English;Latin
fantastic,2,fantastic,Latin,Greek,Latin;Greek;Old French;Italian
fared,2,fare,Old English,,Old English
farewell,2,farewell,English,American English,English;American English
fargo,2,,,,
