word,word count,root word,root language,second language,ranked languages
again,352,again,Old English,Old Norse,Old English;Old Norse;Old Frisian;German
into,350,into,Old English,American English,Old English;American English
some,350,some,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;American English
more,349,more,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Old Irish;Welsh;Greek
or,339,or,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse;German
who,338,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
sonia,334,,,,
see,326,see,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Middle Dutch;Dutch;Old Norse;Greek;Latin
razumihin,324,,,,
went,322,,,,
time,321,,,,
has,316,,,,
here,313,here,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
go,310,go,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Greek;American English;French
himself,296,himself,Old English,,Old English
once,295,once,Old English,German,Old English;German
dounia,290,,,,
looked,273,look,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
which,273,which,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
down,268,down,Old English,American English,Old English;American English
even,268,even,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
before,267,before,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German
well,266,well,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German;Sanskrit;Slavonic;Welsh;Latin
suddenly,265,,,,
room,261,room,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Dutch;Latin;Old Irish;Slavonic;Russian
thought,260,thought,Old English,German,Old English;German
say,253,say,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic;Old Irish;American English
can,251,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
petrovitch,250,,,,
yes,250,yes,Old English,American English,Old English;American English
just,249,just,Old French,,Old French
last,249,last,Old English,Old Frisian,Old English;Old Frisian;Dutch;German
must,248,must,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Dutch
little,247,little,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German
still,245,still,Old English,Germanic,Old English;Germanic;Old Frisian;German;Middle Dutch;Dutch
something,244,something,Old English,,Old English
