word,word count
matter,27
milly,27
nine,27
north,27
pass,27
run,27
sand,27
themselves,27
tom,27
wo,27
—do,27
caffrey,26
card,26
goulding,26
hell,26
hour,26
kelleher,26
lifted,26
loose,26
lot,26
mine,26
mirror,26
please,26
pray,26
private,26
sent,26
spoke,26
square,26
t,26
art,25
breen,25
carriage,25
clean,25
corny,25
eat,25
editor,25
female,25
figure,25
given,25
letters,25
opposite,25
play,25
question,25
quiet,25
shadow,25
silver,25
small,25
smile,25
smiling,25
soon,25
standing,25
stone,25
stop,25
yellow,25
—how,25
account,24
age,24
ball,24
bore,24
bring,24
business,24
cry,24
devil,24
fat,24
forget,24
fresh,24
general,24
george,24
girls,24
gob,24
holding,24
host,24
hot,24
instant,24
law,24
least,24
less,24
making,24
marion,24
pay,24
reading,24
rev,24
rocks,24
royal,24
shakespeare,24
silence,24
simply,24
skin,24
stick,24
summer,24
thinking,24
trouble,24
trying,24
whose,24
within,24
baby,23
boys,23
cat,23
court,23
deep,23
during,23
easy,23
fact,23
fear,23
funeral,23
guest,23
hundred,23
hynes,23
id,23
jew,23
large,23
no-one,23
pair,23
pity,23
quietly,23
school,23
sight,23
since,23
stuck,23
youth,23
—ay,23
—we,23
ate,22
ay,22
byrne,22
coffin,22
davy,22
didnt,22
drank,22
dress,22
dying,22
e,22
eh,22
either,22
else,22
fellows,22
front,22
garden,22
happy,22
itself,22
kitchen,22
known,22
living,22
moon,22
natural,22
page,22
penny,22
rich,22
short,22
sometimes,22
south,22
teeth,22
understand,22
use,22
various,22
william,22
wrote,22
—come,22
5,21
almost,21
birth,21
broke,21
car,21
doorway,21
floor,21
flowers,21
hours,21
james,21
kinch,21
kiss,21
language,21
late,21
laughter,21
legs,21
lidwell,21
meet,21
meeting,21
neck,21
none,21
opened,21
present,21
quay,21
reverend,21
shook,21
shut,21
soap,21
taken,21
threw,21
throw,21
top,21
trees,21
w,21
wouldnt,21
yourself,21
beyond,20
blessed,20
boardman,20
butter,20
cap,20
ears,20
everything,20
gate,20
gazed,20
heaven,20
herself,20
indeed,20
inside,20
jesus,20
lines,20
lower,20
lynch,20
makes,20
memory,20
menton,20
middle,20
o'madden,20
outside,20
paid,20
patrick,20
per,20
public,20
race,20
row,20
seeing,20
seven,20
silk,20
sit,20
skirt,20
slow,20
speech,20
theyre,20
tiny,20
touched,20
waited,20
wish,20
bald,19
beard,19
bottom,19
castle,19
close,19
closed,19
clothes,19
collar,19
college,19
crown,19
de,19
dillon,19
dilly,19
double,19
faces,19
fall,19
family,19
flesh,19
friends,19
glasses,19
hamlet,19
hole,19
instance,19
laugh,19
lightly,19
liked,19
machugh,19
means,19
mourning,19
points,19
prince,19
probably,19
putting,19
ring,19
save,19
secret,19
shirt,19
sin,19
sound,19
spanish,19
strange,19
tall,19
terry,19
thats,19
thick,19
watched,19
waves,19
wine,19
worth,19
—but,19
—good,19
amid,18
asking,18
bantam,18
bay,18
bell,18
buy,18
catch,18
cream,18
cross,18
crossed,18
doran,18
dr,18
dull,18
eleven,18
english,18
folded,18
giving,18
glance,18
glanced,18
goes,18
ground,18
hate,18
hats,18
horses,18
however,18
husband,18
keys,18
kidney,18
looks,18
moses,18
park,18
pound,18
queer,18
quid,18
rain,18
reason,18
remembered,18
rising,18
sing,18
softly,18
space,18
stars,18
stones,18
story,18
stuff,18
talk,18
third,18
tweedy,18
—are,18
—they,18
afraid,17
aside,17
attention,17
b,17
bag,17
bottle,17
breakfast,17
calls,17
candle,17
cool,17
dirty,17
entered,17
feeling,17
flat,17
forgot,17
forms,17
gets,17
ghost,17
golden,17
heat,17
hed,17
houses,17
image,17
influence,17
jingle,17
kissed,17
knife,17
knock,17
led,17
listen,17
luck,17
male,17
nodded,17
noise,17
placed,17
places,17
pure,17
rolled,17
roman,17
seems,17
sides,17
simple,17
speaking,17
staring,17
starts,17
thousand,17
tight,17
tomorrow,17
tongue,17
voices,17
watching,17
waters,17
wet,17
whom,17
wild,17
bank,16
bought,16
chair,16
character,16
chords,16
coat,16
common,16
die,16
dont,16
envelope,16
example,16
following,16
forgotten,16
gentle,16
grace,16
hes,16
holles,16
inner,16
jacky,16
learn,16
lived,16
loud,16
loves,16
lyons,16
meat,16
month,16
national,16
perfume,16
period,16
peter,16
phenomenon,16
piece,16
porter,16
railway,16
ran,16
ship,16
shot,16
shoulder,16
shoulders,16
sign,16
straight,16
sugar,16
suit,16
theres,16
tower,16
ward,16
weak,16
whatever,16
whispered,16
writing,16
—hello,16
address,15
ancient,15
captain,15
carried,15
caught,15
cause,15
clock,15
doctor,15
drawn,15
drop,15
drove,15
dry,15
fifteen,15
fish,15
flow,15
gravely,15
handed,15
handkerchief,15
hanging,15
imagine,15
knee,15
listening,15
malachi,15
moustache,15
moving,15
names,15
pa,15
pages,15
pleasure,15
plump,15
pulled,15
quarter,15
return,15
seated,15
sense,15
silently,15
singing,15
sister,15
stared,15
stepped,15
steps,15
struck,15
tram,15
waistcoat,15
washing,15
wear,15
whether,15
windows,15
won,15
wonderful,15
wore,15
—did,15
action,14
afar,14
alive,14
aunt,14
awhile,14
bath,14
bound,14
buried,14
cattle,14
certainly,14
chance,14
changed,14
christ,14
clear,14
coffee,14
concert,14
corporation,14
counter,14
dancing,14
distant,14
dust,14
empty,14
existence,14
faith,14
finger,14
food,14
fro,14
future,14
gentlemen,14
help,14
hide,14
honourable,14
interest,14
italian,14
june,14
kick,14
knees,14
la,14
leg,14
london,14
lose,14
manner,14
mass,14
mercy,14
minutes,14
murder,14
noble,14
notice,14
pain,14
papers,14
piano,14
pink,14
played,14
proud,14
reached,14
ready,14
received,14
removed,14
replied,14
seemed,14
send,14
shop,14
special,14
step,14
straw,14
strong,14
sudden,14
tear,14
thinks,14
thomas,14
twelve,14
twins,14
upper,14
ways,14
wide,14
wise,14
begob,13
below,13
blowing,13
board,13
books,13
