word,word count,root word,root language,second language,ranked languages
asunder,1,asunder,Old English,,Old English
atalantas,1,atalanta,Greek,Latin,Greek;Latin
atkinson,1,,,,
atlantic,1,atlantic,Latin,Greek,Latin;Greek
atmosphere,1,atmosphere,Latin,Greek,Latin;Greek;English
atom,1,atom,Latin,Greek,Latin;Greek
attack,1,attack,English,,English
attacking,1,attack,English,,English
attempts,1,,,,
attendances,1,attendance,Old French,,Old French
attracted,1,attract,Latin,,Latin
audible,1,audible,French,Latin,French;Latin
auditors,1,auditor,Old French,Latin,Old French;Latin
august,1,august,Latin,,Latin
aungier,1,,,,
author,1,,,,
authoritative,1,authoritative,Latin,,Latin
autobiographical,1,,,,
average,1,,,,
avoided,1,avoid,Old French,English,Old French;English
awarded,1,award,Old French,,Old French
awful,1,awful,Old English,,Old English
awkwardly,1,,,,
b,1,,,,
bacon-fat,1,,,,
bacon-rind,1,,,,
badge,1,badge,French,Latin,French;Latin
badges,1,badge,French,Latin,French;Latin
baffled,1,,,,
baggages,1,baggage,Old French,American English,Old French;American English;English
bailiff's,1,,,,
bailiffs,1,bailiff,Old French,Latin,Old French;Latin;English
balbrigan,1,,,,
balfe,1,,,,
ballad,1,ballad,French,Latin,French;Latin
ballooned,1,,,,
balls,1,,,,
ballsbridge,1,,,,
balustrade,1,balustrade,French,Italian,French;Italian
banded,1,band,French,Germanic,French;Germanic
bang,1,bang,Old Norse,,Old Norse
banged,1,bang,Old Norse,,Old Norse
banish,1,banish,Old French,Germanic,Old French;Germanic;Latin
banister-rail,1,,,,
banknotes,1,,,,
banshee,1,banshee,Irish,,Irish
bantam,1,bantam,Dutch,,Dutch
baptismal,1,,,,
bare-headed,1,,,,
barely,1,barely,Old English,,Old English
bargain,1,bargain,Old French,,Old French
bargaining,1,bargain,Old French,,Old French
barges,1,barge,American English,English,American English;English
barmbrack,1,,,,
barometer,1,barometer,Greek,English,Greek;English
barracks,1,,,,
barrels,1,barrel,American English,English,American English;English
barren,1,barren,Old French,Germanic,Old French;Germanic;English
barrier,1,barrier,Old French,,Old French
bars,1,bar,Old French,Latin,Old French;Latin
bathroom,1,,,,
battalion,1,battalion,French,Italian,French;Italian;Latin
batter,1,batter,Old French,Latin,Old French;Latin
battered,1,batter,Old French,Latin,Old French;Latin
battles,1,battle,Old French,Latin,Old French;Latin
bawled,1,bawl,Old Norse,Latin,Old Norse;Latin;American English;English
beady,1,,,,
beannacht,1,,,,
beans,1,,,,
beats,1,,,,
beauties,1,beauty,Old French,Latin,Old French;Latin;Old English
beautifully,1,,,,
beauty,1,beauty,Old French,Latin,Old French;Latin;Old English
beckon,1,beckon,Old English,Germanic,Old English;Germanic;Old Saxon;German
beckoned,1,beckon,Old English,Germanic,Old English;Germanic;Old Saxon;German
bedclothes,1,,,,
beds,1,bed,Old English,,Old English
bedstead,1,,,,
beeswax,1,,,,
beg,1,beg,Old English,Germanic,Old English;Germanic;Old French;Latin
beggars,1,,,,
beginners,1,,,,
begins,1,begin,Old English,Germanic,Old English;Germanic;German;Old Frisian;Middle Dutch;Dutch
begone,1,,,,
behaved,1,behave,German,French,German;French;Old English
beheld,1,,,,
being—that,1,,,,
belfry,1,belfry,Latin,French,Latin;French;German;Germanic
belgian,1,,,,
belie,1,belie,Old English,,Old English
beliefs,1,belief,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Latin
believer,1,,,,
bell's,1,,,,
belle,1,belle,Old French,Latin,Old French;Latin
belong,1,belong,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
bended,1,,,,
bequeathed,1,bequeath,Old English,Germanic,Old English;Germanic
berlin,1,berlin,German,,German
bessie,1,,,,
bet,1,bet,Old English,Germanic,Old English;Germanic;American English
betokened,1,betoken,Old English,,Old English
betray,1,betray,English,Old French,English;Old French;Latin
betrayed,1,betray,English,Old French,English;Old French;Latin
betrayer,1,,,,
better-class,1,,,,
bevelled,1,bevel,Old French,Latin,Old French;Latin
bewildered,1,,,,
bewley,1,,,,
bicycle-pump,1,,,,
bid,1,bid,Old English,Germanic,Old English;Germanic;German;Old Saxon;Old Frisian;Old Norse
bile,1,bile,French,Latin,French;Latin
billiard,1,,,,
bird,1,bird,Old English,Germanic,Old English;Germanic
birthday,1,birthday,Old English,,Old English
biscuit-barrel,1,,,,
bite,1,bite,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
bits,1,bit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Spanish
bitterly,1,,,,
bitterness,1,bitterness,Old English,,Old English
blackened,1,,,,
blackthorn,1,,,,
blackwhite,1,,,,
blade,1,blade,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Saxon;Dutch;Old Norse;Old French
blandly,1,bland,Italian,Old French,Italian;Old French;Latin;English
blank,1,blank,French,,French
blankets,1,,,,
blankly,1,blank,French,,French
blathering,1,,,,
bleaching,1,bleach,Old English,,Old English
bleak,1,bleak,Old Norse,Germanic,Old Norse;Germanic;Old English
blended,1,blende,German,,German
blew,1,blew,Old English,,Old English
blindfold,1,,,,
blindfolding,1,,,,
blinds,1,,,,
blinked,1,blink,English,,English
bliss,1,,,,
blocks,1,,,,
blond,1,,,,
bloody-minded,1,,,,
blooming,1,,,,
blotches,1,,,,
bluish,1,,,,
blush-pink,1,,,,
blushes,1,,,,
boa,1,boa,Latin,English,Latin;English;Greek
boasting,1,,,,
bob—and,1,,,,
bodice,1,,,,
bodiless,1,,,,
bog,1,bog,Irish,,Irish
boilers,1,,,,
boldest,1,bold,Old English,Germanic,Old English;Germanic;German;Old Norse;Old French;Italian
bona,1,bona,English,,English
bonaparte,1,,,,
bone,1,bone,German,English,German;English
bones,1,bones,American English,English,American English;English
bonnet,1,bonnet,Old French,Latin,Old French;Latin;Germanic
bony,1,,,,
bookcase,1,bookcase,Old English,,Old English
booked,1,book,Old English,,Old English
booksellers,1,,,,
bookshelf,1,,,,
bookworm,1,,,,
boosing,1,boo,Latin,Greek,Latin;Greek
boot,1,boot,Spanish,,Spanish
bootees,1,,,,
bootmaker,1,,,,
borders,1,,,,
borgia,1,,,,
borrowed,1,borrow,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German
boss,1,,,,
bostooms,1,,,,
bottle-green,1,,,,
bottled,1,,,,
bottom,1,,,,
bounded,1,,,,
bouquet,1,bouquet,English,Old French,English;Old French;Latin
bouts,1,bout,Old English,Germanic,Old English;Germanic
bowing,1,bo,Sanskrit,,Sanskrit
bowler,1,bowler,Old English,,Old English
bowsy,1,,,,
box-office,1,,,,
boyos,1,,,,
boy—a,1,,,,
bracelet,1,bracelet,Old French,Latin,Old French;Latin
bracing,1,brace,Old French,,Old French
braided,1,braid,Old English,Old Norse,Old English;Old Norse
brains,1,brain,Old English,Germanic,Old English;Germanic;German;Old Frisian;Dutch;Greek
brandishing,1,brandish,Old French,,Old French
braved,1,brave,French,,French
bravery,1,bravery,French,Italian,French;Italian
bravo,1,bravo,Italian,,Italian
brazen,1,brazen,Old English,,Old English
bread-pudding,1,,,,
break-up,1,,,,
breakfast-cup,1,,,,
breakfast-room,1,,,,
breakfast-time,1,,,,
