word,word count,root word,root language,second language,ranked languages
prescribed,9,prescribe,Latin,,Latin
profession,9,profession,Old French,Latin,Old French;Latin
prudent,9,prudent,Old French,Latin,Old French;Latin
ratiocination,9,ratiocination,Latin,,Latin
reduce,9,reduce,Old French,Latin,Old French;Latin
regard,9,regard,Old French,Germanic,Old French;Germanic
register,9,,,,
reject,9,,,,
rely,9,rely,Old French,Latin,Old French;Latin
remaineth,9,,,,
representant,9,,,,
representation,9,representation,Old French,Latin,Old French;Latin
reserved,9,,,,
rich,9,rich,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Old Irish;Old French;Spanish;Italian
rightly,9,rightly,Old English,,Old English
sake,9,,,,
schoole,9,,,,
selling,9,sell,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
seven,9,seven,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin;Slavonic;Old Irish;Welsh
sinnes,9,sinn,Old Irish,,Old Irish
sonne,9,,,,
soul,9,,,,
souldier,9,,,,
stood,9,,,,
subtile,9,subtile,Old French,,Old French
successor,9,successor,Old French,Latin,Old French;Latin
tast,9,,,,
termes,9,,,,
thereupon,9,,,,
thinke,9,,,,
trinity,9,trinity,Old French,Latin,Old French;Latin;Irish;Welsh;German
unjustly,9,,,,
uphold,9,uphold,Old Frisian,Middle Dutch,Old Frisian;Middle Dutch;Dutch;German
violate,9,violate,Latin,,Latin
vitall,9,,,,
wife,9,wife,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
wildernesse,9,,,,
willing,9,willing,Old English,,Old English
wind,9,,,,
worse,9,worse,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German
wounds,9,wound,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;German
zeal,9,zeal,Old French,Latin,Old French;Latin;Italian;Spanish;Greek
zion,9,zion,Old English,Greek,Old English;Greek
23,8,,,,
abandon,8,abandon,French,English,French;English
abilities,8,ability,Old French,Latin,Old French;Latin;English
absurdities,8,absurdity,French,Latin,French;Latin
advantage,8,advantage,Old French,Latin,Old French;Latin
affirmation,8,affirmation,Old French,Latin,Old French;Latin
altar,8,altar,Old English,Latin,Old English;Latin;Old French
antecedent,8,antecedent,Old French,Latin,Old French;Latin
appearing,8,appear,Old French,Latin,Old French;Latin
apply,8,apply,Old French,Latin,Old French;Latin
apprehension,8,apprehension,Old French,Latin,Old French;Latin
arbitrator,8,arbitrator,Old French,Latin,Old French;Latin
assistance,8,assistance,French,,French
attempt,8,,,,
began,8,,,,
brazen,8,brazen,Old English,,Old English
calfe,8,,,,
chose,8,,,,
commeth,8,,,,
concern,8,,,,
concord,8,concord,Old French,Latin,Old French;Latin
constantine,8,,,,
constitute,8,constitute,Latin,,Latin
content,8,content,Latin,,Latin
corruption,8,corruption,Latin,,Latin
counsellour,8,,,,
courts,8,,,,
craft,8,craft,Old English,,Old English
daily,8,daily,Old English,German,Old English;German
declaration,8,declaration,Old French,Latin,Old French;Latin
declareth,8,,,,
dedicated,8,dedicate,Latin,,Latin
defect,8,defect,French,Latin,French;Latin
deliberate,8,deliberate,Latin,,Latin
demanded,8,demand,Old French,Latin,Old French;Latin
denyeth,8,,,,
descend,8,descend,Old French,Latin,Old French;Latin;English
despiseth,8,,,,
draw,8,draw,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German
duties,8,duty,Old French,Latin,Old French;Latin
eating,8,ea,Old English,,Old English
emperors,8,emperor,Old French,Latin,Old French;Latin;English;German
epist,8,,,,
epistle,8,epistle,Old English,Old French,Old English;Old French;Latin;Greek
evangelists,8,evangelist,Old French,Latin,Old French;Latin;Greek;English
evidently,8,,,,
exorcisme,8,,,,
expounded,8,expound,Old French,Latin,Old French;Latin;English
faile,8,,,,
feet,8,,,,
figures,8,figure,Old French,Latin,Old French;Latin;Greek
foolish,8,foolish,Old English,,Old English
fraud,8,fraud,Latin,Old French,Latin;Old French;Sanskrit
goeth,8,,,,
grave,8,grave,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Slavonic
habitation,8,habitation,Old French,Latin,Old French;Latin
haeretiques,8,,,,
happeneth,8,,,,
hardly,8,hardly,Old English,,Old English
harme,8,,,,
heavy,8,,,,
hindred,8,,,,
howsoever,8,,,,
idea,8,idea,Latin,Greek,Latin;Greek;French
impunity,8,impunity,French,Latin,French;Latin
inanimate,8,inanimate,Latin,,Latin
independent,8,independent,French,Italian,French;Italian
informed,8,inform,Old French,Latin,Old French;Latin
inhabitants,8,inhabitant,French,Latin,French;Latin
injured,8,injure,French,Latin,French;Latin
intelligible,8,intelligible,Latin,English,Latin;English
interests,8,interest,French,Latin,French;Latin;German;English
irregular,8,,,,
isaac,8,isaac,Latin,Greek,Latin;Greek
judas,8,judas,Latin,Greek,Latin;Greek
knot,8,,,,
lawyers,8,lawyer,English,,English
layd,8,,,,
lead,8,,,,
