word,word count,root word,root language,second language,ranked languages
inheritance,9,inheritance,Old French,,Old French
israel,9,israel,Old English,Latin,Old English;Latin;Greek
leaves,9,leave,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Greek;Slavonic;Sanskrit
legislators,9,legislator,Latin,,Latin
limited,9,,,,
love,9,love,Old English,Germanic,Old English;Germanic;German
mean,9,mean,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German;Slavonic;Old Irish;Welsh
mentioned,9,mention,Old French,,Old French
monarch,9,monarch,French,Latin,French;Latin;Greek
nay,9,nay,Old Norse,,Old Norse
necessity,9,necessity,Old French,Latin,Old French;Latin;English
none,9,none,Old English,Old Saxon,Old English;Old Saxon;German;Old Norse;Middle Dutch;Dutch;Latin
notice,9,,,,
obey,9,obey,Old French,Latin,Old French;Latin;Old English
occasions,9,occasion,Old French,Latin,Old French;Latin
offender,9,offender,French,,French
opposed,9,oppose,Old French,Latin,Old French;Latin
penalties,9,penalty,French,Latin,French;Latin
plenty,9,plenty,Old French,Latin,Old French;Latin;English
possible,9,possible,Old French,Latin,Old French;Latin
possibly,9,,,,
posterity,9,posterity,Old French,Latin,Old French;Latin;Old English
punishment,9,punishment,Old French,,Old French
rather,9,rather,Old English,Germanic,Old English;Germanic;Old Norse;German
reach,9,,,,
requires,9,require,Old French,Latin,Old French;Latin
resistance,9,resistance,Old French,Latin,Old French;Latin
room,9,room,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Dutch;Latin;Old Irish;Slavonic;Russian
short,9,short,Old English,,Old English
slaves,9,,,,
something,9,something,Old English,,Old English
soon,9,soon,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;American English
speak,9,speak,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Greek
strange,9,strange,Old French,Latin,Old French;Latin;Italian;Spanish
subsist,9,subsist,French,Latin,French;Latin
sufficient,9,sufficient,Old French,Latin,Old French;Latin
terms,9,,,,
thereunto,9,,,,
thinks,9,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
thirdly,9,third,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Dutch;Old Norse;Sanskrit;Greek;Latin;Italian;Spanish;French;Slavonic;Old Irish;Welsh
understood,9,,,,
uses,9,use,Old French,Old English,Old French;Old English
virtue,9,virtue,Old French,Latin,Old French;Latin;English
where-ever,9,,,,
wholly,9,wholly,Old English,,Old English
wisdom,9,wisdom,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;German;Latin;Greek
ages,8,age,Old French,Latin,Old French;Latin;Spanish;Italian
ambition,8,ambition,French,Latin,French;Latin;English
appropriate,8,appropriate,Latin,,Latin
argument,8,argument,Old French,Latin,Old French;Latin
assembly,8,assembly,Old French,,Old French
authorized,8,authorize,Old French,Latin,Old French;Latin
avoid,8,avoid,Old French,English,Old French;English
barely,8,barely,Old English,,Old English
beyond,8,beyond,Old English,Germanic,Old English;Germanic
came,8,,,,
chuse,8,,,,
commands,8,command,Old French,,Old French
concerning,8,,,,
conjugal,8,conjugal,French,Latin,French;Latin
consists,8,consist,French,Latin,French;Latin
cut,8,cut,Germanic,Old Norse,Germanic;Old Norse;Old French;Old English
degree,8,degree,Old French,Latin,Old French;Latin;English
destruction,8,destruction,Old French,Latin,Old French;Latin
empire,8,empire,Old French,Latin,Old French;Latin
english,8,english,Old English,,Old English
